,GTFS Stop ID,Complex ID,Stop Name,lines
L27,L27,136,New Lots Av,['L']
210,210,423,Allerton Av,['2']
D16,D16,609,42 St-Bryant Pk,"['D', 'M', 'F', 'B']"
F36,F36,251,Avenue U,['F']
416,416,391,138 St-Grand Concourse,"['4', '5']"
B20,B20,67,20 Av,['D']
B13,B13,60,Fort Hamilton Pkwy,['D']
F25,F25,241,15 St-Prospect Park,"['G', 'F']"
138,138,328,WTC Cortlandt,['1']
D20,D20,167,W 4 St-Wash Sq,"['D', 'M', 'F', 'B']"
G26,G26,283,Greenpoint Av,['G']
M18,M18,625,Delancey St-Essex St,"['J', 'M']"
L06,L06,119,1 Av,['L']
D40,D40,55,Brighton Beach,"['B', 'Q']"
A27,A27,611,42 St-Port Authority Bus Terminal,"['A', 'C', 'E']"
R04,R04,3,30 Av,"['W', 'N']"
402,402,379,Mosholu Pkwy,['4']
H11,H11,209,Far Rockaway-Mott Av,['A']
L02,L02,601,6 Av,['L']
601,601,360,Pelham Bay Park,"['6X', '6']"
723,723,610,Grand Central-42 St,"['7X', '7']"
613,613,371,Hunts Point Av,"['6X', '6']"
J20,J20,87,Crescent St,['J']
A64,A64,194,111 St,['A']
A07,A07,147,175 St,['A']
106,106,296,Marble Hill-225 St,['1']
121,121,311,86 St,['1']
206,206,419,225 St,['2']
G13,G13,266,Elmhurst Av,"['R', 'M']"
635,635,602,14 St-Union Sq,"['4', '5', '6', '6X']"
D13,D13,151,145 St,"['D', 'B']"
D27,D27,43,Parkside Av,['Q']
248,248,343,Nostrand Av,['3']
707,707,451,Junction Blvd,"['7X', '7']"
R44,R44,38,86 St,['R']
412,412,387,170 St,['4']
221,221,434,3 Av-149 St,"['2', '5']"
108,108,298,207 St,['1']
125,125,614,59 St-Columbus Circle,['1']
H04,H04,199,Broad Channel,"['A', 'H']"
A44,A44,177,Clinton-Washington Avs,['C']
A49,A49,182,Ralph Av,['C']
711,711,455,69 St,"['7X', '7']"
B23,B23,70,Bay 50 St,['D']
G11,G11,264,Woodhaven Blvd,"['R', 'M']"
J27,J27,621,Broadway Junction,['J']
L17,L17,630,Myrtle-Wyckoff Avs,['L']
R09,R09,461,Queensboro Plaza,"['W', 'N']"
M13,M13,99,Lorimer St,"['J', 'M']"
G06,G06,279,Sutphin Blvd-Archer Av-JFK Airport,"['J', 'E']"
716,716,460,33 St-Rawson St,"['7X', '7']"
A17,A17,155,Cathedral Pkwy (110 St),"['C', 'B']"
F06,F06,259,Kew Gardens-Union Tpke,"['F', 'E']"
130,130,320,23 St,['1']
A42,A42,175,Hoyt-Schermerhorn Sts,"['A', 'G', 'C']"
R20,R20,602,14 St-Union Sq,"['R', 'W', 'N', 'Q']"
224,224,438,135 St,"['3', '2']"
N06,N06,75,20 Av,['N']
A05,A05,145,190 St,['A']
G35,G35,291,Clinton-Washington Avs,['G']
616,616,374,E 143 St-St Mary's St,['6']
J29,J29,94,Halsey St,['J']
D22,D22,231,Grand St,"['D', 'B']"
N10,N10,79,86 St,['N']
252,252,347,Saratoga Av,['3']
232,232,620,Borough Hall,"['3', '2']"
M06,M06,111,Seneca Av,['M']
H15,H15,203,Rockaway Park-Beach 116 St,['H']
L13,L13,124,Montrose Av,['L']
D10,D10,218,167 St,"['D', 'B']"
257,257,352,New Lots Av,['3']
502,502,443,Baychester Av,['5']
G32,G32,288,Myrtle-Willoughby Avs,['G']
215,215,428,174 St,"['2', '5']"
F09,F09,606,Court Sq-23 St,"['M', 'E']"
407,407,382,Fordham Rd,['4']
A21,A21,159,81 St-Museum of Natural History,"['C', 'B']"
Q01,Q01,623,Canal St,"['N', 'Q']"
A53,A53,186,Van Siclen Av,['C']
113,113,303,157 St,['1']
603,603,362,Middletown Rd,"['6X', '6']"
R34,R34,30,Prospect Av,['R']
E01,E01,624,World Trade Center,['E']
S03,S03,141,Park Pl,['FS']
D31,D31,47,Newkirk Plaza,"['B', 'Q']"
G19,G19,271,Steinway St,"['R', 'M']"
F03,F03,256,Parsons Blvd,['F']
133,133,323,Christopher St-Stonewall,['1']
420,420,414,Bowling Green,"['4', '5']"
609,609,367,St Lawrence Av,['6']
116,116,306,125 St,['1']
R11,R11,613,Lexington Av/59 St,"['R', 'W', 'N']"
F18,F18,235,York St,['F']
F31,F31,246,Avenue I,['F']
B15,B15,62,55 St,['D']
H09,H09,207,Beach 36 St,['A']
M23,M23,107,Broad St,['J']
625,625,396,96 St,"['6X', '6']"
R17,R17,607,34 St-Herald Sq,"['N', 'R', 'W', 'Q']"
901,901,610,Grand Central-42 St,['GS']
142,142,635,South Ferry,['1']
D06,D06,214,182-183 Sts,"['D', 'B']"
640,640,622,Brooklyn Bridge-City Hall,"['4', '5', '6', '6X']"
A14,A14,152,135 St,"['C', 'B']"
211,211,424,Pelham Pkwy,['2']
N07,N07,76,Bay Pkwy,['N']
225,225,439,125 St,"['3', '2']"
B14,B14,61,50 St,['D']
R45,R45,39,Bay Ridge-95 St,['R']
G28,G28,284,Nassau Av,['G']
A33,A33,168,Spring St,"['C', 'E']"
411,411,386,Mt Eden Av,['4']
A09,A09,605,168 St,"['A', 'C']"
G05,G05,278,Jamaica Center-Parsons/Archer,"['J', 'E']"
109,109,299,Dyckman St,['1']
R40,R40,34,53 St,['R']
A59,A59,190,80 St,['A']
A50,A50,183,Rockaway Av,['C']
G14,G14,616,Jackson Hts-Roosevelt Av,"['M', 'R', 'F', 'E']"
D35,D35,51,Kings Hwy,"['B', 'Q']"
626,626,397,86 St,"['4', '5', '6', '6X']"
R03,R03,2,Astoria Blvd,"['W', 'N']"
216,216,429,Freeman St,"['2', '5']"
D01,D01,210,Norwood-205 St,['D']
706,706,450,103 St-Corona Plaza,['7']
243,243,355,Winthrop St,"['2', '5']"
F23,F23,608,4 Av-9 St,"['G', 'F']"
F26,F26,242,Fort Hamilton Pkwy,"['G', 'F']"
F38,F38,252,Avenue X,['F']
205,205,418,233 St,['2']
L16,L16,127,DeKalb Av,['L']
L28,L28,137,East 105 St,['L']
721,721,464,Vernon Blvd-Jackson Av,"['7X', '7']"
621,621,392,125 St,"['4', '5', '6', '6X']"
137,137,327,Chambers St,"['3', '2', '1']"
A65,A65,195,Ozone Park-Lefferts Blvd,['A']
B19,B19,66,18 Av,['D']
M19,M19,103,Bowery,['J']
R33,R33,608,4 Av-9 St,['R']
239,239,626,Franklin Av-Medgar Evers College,"['3', '4', '2', '5']"
636,636,407,Astor Pl,"['6X', '6']"
D28,D28,44,Church Av,"['B', 'Q']"
R28,R28,620,Court St,['R']
J28,J28,93,Chauncey St,['J']
712,712,456,61 St-Woodside,"['7X', '7']"
D41,D41,56,Ocean Pkwy,['Q']
J21,J21,88,Norwood Av,['J']
L22,L22,621,Broadway Junction,['L']
104,104,295,231 St,['1']
G10,G10,263,63 Dr-Rego Park,"['R', 'M']"
A28,A28,164,34 St-Penn Station,"['A', 'C', 'E']"
H12,H12,200,Beach 90 St,['H']
126,126,316,50 St,['1']
120,120,310,96 St,"['3', '2', '1']"
A45,A45,627,Franklin Av,['C']
630,630,612,51 St,"['6X', '6']"
N02,N02,71,8 Av,['N']
