index,lines,time,stop1,stop2,stop 1 count,stop 2 count
"('215', '216')",2,150.0,174 St,Freeman St,1,1
"('216', '217')",5,95.07042253521126,Freeman St,Simpson St,1,1
"('216', '217')",2,95.07042253521126,Freeman St,Simpson St,1,1
"('217', '218')",5,79.85915492957747,Simpson St,Intervale Av,1,1
"('217', '218')",2,79.85915492957747,Simpson St,Intervale Av,1,1
"('218', '219')",5,84.85714285714286,Intervale Av,Prospect Av,1,1
"('218', '219')",2,84.85714285714286,Intervale Av,Prospect Av,1,1
"('219', '220')",5,105.63380281690141,Prospect Av,Jackson Av,1,1
"('219', '220')",2,105.63380281690141,Prospect Av,Jackson Av,1,1
"('220', '221')",5,139.43661971830986,Jackson Av,3 Av-149 St,1,2
"('220', '221')",2,139.43661971830986,Jackson Av,3 Av-149 St,1,2
"('221', '222')",5,134.58715596330276,3 Av-149 St,149 St-Grand Concourse,1,1
"('221', '222')",2,134.58715596330276,3 Av-149 St,149 St-Grand Concourse,1,1
"('420', '423')",5,300.0,Bowling Green,Borough Hall,1,3
"('420', '423')",4,300.0,Bowling Green,Borough Hall,1,3
"('601', '602')",6,150.0,Pelham Bay Park,Buhre Av,1,1
"('601', '602')",6x,150.0,Pelham Bay Park,Buhre Av,1,1
"('602', '603')",6,90.0,Buhre Av,Middletown Rd,1,1
"('602', '603')",6x,90.0,Buhre Av,Middletown Rd,1,1
"('603', '604')",6,114.64285714285714,Middletown Rd,Westchester Sq-E Tremont Av,1,1
"('603', '604')",6x,114.64285714285714,Middletown Rd,Westchester Sq-E Tremont Av,1,1
"('701', '702')",7,210.0,Flushing-Main St,Mets-Willets Point,1,1
"('701', '702')",7x,210.0,Flushing-Main St,Mets-Willets Point,1,1
"('702', '705')",7,150.0,Mets-Willets Point,111 St,1,1
"('702', '705')",7x,150.0,Mets-Willets Point,111 St,1,1
"('705', '706')",7,85.86206896551724,111 St,103 St-Corona Plaza,1,1
"('705', '706')",7x,85.86206896551724,111 St,103 St-Corona Plaza,1,1
"('706', '707')",7,90.0,103 St-Corona Plaza,Junction Blvd,1,1
"('706', '707')",7x,90.0,103 St-Corona Plaza,Junction Blvd,1,1
"('707', '708')",7,73.6842105263158,Junction Blvd,90 St-Elmhurst Av,1,1
